year,Name,Title,ActorId,ActorId,MovieId,Country,genre
#N/A,Alec Guinness,Star Wars,1373,1373,836,#N/A,#N/A
1957,Alec Guinness,The Bridge on the River Kwai,1373,1373,291,Other countries,Drama
#N/A,Alessandro Gassman,Transporter 2,1207,1207,486,#N/A,#N/A
1997,Alessandro Nivola,Face/Off,1474,1474,671,Other countries,#N/A
2001,Alessandro Nivola,Jurassic Park III,1474,1474,678,America,#N/A
2002,Alex Palmer,28 Days Later...,308,308,685,America,Drama
2011,Alex Pettyfer,I Am Number Four,575,575,650,America,#N/A
2016,Alex R. Hibbert,Moonlight,1619,1619,857,Other countries,Drama
#N/A,Alex Reid,The Descent,288,288,321,#N/A,#N/A
2012,Alex Russell,Chronicle,1531,1531,439,America,Drama
2003,Alexander Gould,Finding Nemo,611,611,120,America,Comedy
2012,Alexander Skarsgård,Battleship,302,302,988,Other countries,#N/A
2015,Alexandra Daddario,San Andreas,1684,1684,313,Asia,Drama
2004,Alexandra Maria Lara,Der Untergang,1707,1707,426,America,Biography
2013,Alexandra Maria Lara,Rush,1707,1707,114,Other countries,Biography
2002,Alexandre Rodrigues,Cidade de Deus,1084,1084,467,America,Drama
2014,Alfie Allen,John Wick,1601,1601,516,Asia,#N/A
2001,Alfre Woodard,K-PAX,1416,1416,181,Asia,Drama
2000,Alfred Molina,Chocolat,710,710,746,Asia,Romance
2010,Alfred Molina,Prince of Persia: The Sands of Time,710,710,991,America,#N/A
2004,Alfred Molina,Spider-Man 2,710,710,96,America,Sci-Fi
2000,Ali Larter,Final Destination,1050,1050,657,Asia,#N/A
2007,Ali Larter,Resident Evil: Extinction,1050,1050,463,America,#N/A
2013,Alice Braga,Elysium,978,978,166,America,Drama
2007,Alice Braga,I Am Legend,978,978,557,America,Drama
2010,Alice Braga,Predators,978,978,208,America,#N/A
2014,Alicia Vikander,Ex Machina,1677,1677,688,Other countries,Drama
2016,Alicia Vikander,Jason Bourne,1677,1677,773,America,#N/A
2015,Alicia Vikander,The Man from U.N.C.L.E.,1677,1677,608,America,Comedy
#N/A,Alison Doody,Indiana Jones and the Last Crusade,299,299,138,#N/A,#N/A
2009,Alison Lohman,Drag Me to Hell,161,161,382,Other countries,#N/A
2016,Alison Sudol,Fantastic Beasts and Where to Find Them,1329,1329,153,America,#N/A
2014,Allen Leech,The Imitation Game,1237,1237,530,America,Biography
1985,Ally Sheedy,The Breakfast Club,1187,1187,770,America,Comedy
2000,Álvaro Guerrero,Amores perros,1335,1335,514,Other countries,Drama
2001,Alyson Hannigan,American Pie 2,626,626,221,America,Comedy
2012,Alyson Hannigan,American Reunion,626,626,215,America,Comedy
2003,Alyson Hannigan,American Wedding,626,626,327,America,Comedy
2010,Amanda Bynes,Easy A,1495,1495,1000,America,Romance
1997,Amanda Donohoe,Liar Liar,1770,1770,791,America,Comedy
2009,Amanda Peet,2012,446,446,278,Other countries,#N/A
2003,Amanda Peet,Identity,446,446,847,America,#N/A
2014,Amanda Seyfried,A Million Ways to Die in the West,560,560,637,America,Comedy
2011,Amanda Seyfried,In Time,560,560,35,America,Drama
2012,Amanda Seyfried,Les Misérables,560,560,62,America,Drama
2008,Amanda Seyfried,Mamma Mia!,560,560,718,Other countries,Romance
2015,Amanda Seyfried,Ted 2,560,560,345,America,Comedy
2007,Amara Karan,The Darjeeling Limited,644,644,883,America,Comedy
2011,Amara Miller,The Descendants,999,999,863,Asia,Comedy
#N/A,Amber Armstrong,Paranormal Activity,1018,1018,882,#N/A,#N/A
2010,Amber Tamblyn,127 Hours,1075,1075,993,Asia,Biography
2005,Amber Valletta,Hitch,503,503,949,America,Romance
#N/A,Amber Valletta,Transporter 2,503,503,486,#N/A,#N/A
2012,America Ferrera,End of Watch,1062,1062,918,America,Drama
2014,Amr Waked,Lucy,195,195,15,America,Sci-Fi
1984,Amrish Puri,Indiana Jones and the Temple of Doom,461,461,482,Asia,#N/A
2013,Amy Adams,American Hustle,1480,1480,533,Other countries,Drama
2016,Amy Adams,Arrival,1480,1480,665,America,Drama
2016,Amy Adams,Batman v Superman: Dawn of Justice,1480,1480,668,America,#N/A
2007,Amy Adams,Enchanted,1480,1480,280,America,Comedy
2013,Amy Adams,Her,1480,1480,315,America,Romance
#N/A,Amy Adams,Man of Steel,1480,1480,912,#N/A,#N/A
2009,Amy Adams,Night at the Museum: Battle of the Smithsonian,1480,1480,271,America,Comedy
2016,Amy Adams,Nocturnal Animals,1480,1480,92,America,Drama
2010,Amy Adams,The Fighter,1480,1480,484,America,Biography
2015,Amy Poehler,Inside Out,81,81,686,America,Comedy
#N/A,Amy Ryan,Bridge of Spies,467,467,32,#N/A,Drama
2008,Amy Ryan,Changeling,467,467,43,Asia,Biography
2006,Amy Smart,Crank,1501,1501,797,Europe,#N/A
2004,Amy Smart,The Butterfly Effect,1501,1501,762,America,Drama
2013,Analeigh Tipton,Warm Bodies,222,222,127,America,Romance
#N/A,Ananda George,Serbuan maut,1567,1567,392,#N/A,#N/A
2015,Anders Holm,The Intern,1486,1486,302,Asia,Comedy
1993,Andie MacDowell,Groundhog Day,621,621,178,America,Romance
2007,Andre Braugher,The Mist,731,731,861,America,#N/A
1995,Andrea Eckert,Before Sunrise,1265,1265,825,America,Romance
2014,Andrea Riseborough,Birdman or (The Unexpected Virtue of Ignorance),741,741,87,America,Comedy
2013,Andrea Riseborough,Oblivion,741,741,12,America,Sci-Fi
2016,Andrew Garfield,Hacksaw Ridge,1674,1674,219,America,Biography
2012,Andrew Garfield,The Amazing Spider-Man,1674,1674,9,Asia,Sci-Fi
2014,Andrew Garfield,The Amazing Spider-Man 2,1674,1674,246,Europe,#N/A
2010,Andrew Garfield,The Social Network,1674,1674,475,America,Biography
1995,Andrew Kevin Walker,Se7en,1046,1046,109,America,Drama
1997,Andrew Miller,Cube,1098,1098,892,America,Drama
1990,Andy Garcia,The Godfather: Part III,1324,1324,945,Other countries,Drama
2012,Andy Samberg,Hotel Transylvania,220,220,908,Other countries,Comedy
2014,Andy Serkis,Dawn of the Planet of the Apes,1788,1788,731,Other countries,Drama
2011,Andy Serkis,Rise of the Planet of the Apes,1788,1788,419,America,Drama
2011,Andy Serkis,The Adventures of Tintin,1788,1788,697,America,Animation
2012,Andy Serkis,The Hobbit: An Unexpected Journey,1788,1788,1,America,#N/A
2015,Ang Phula Sherpa,Everest,1014,1014,871,America,Biography
2013,Angela Bassett,Olympus Has Fallen,1736,1736,207,Asia,#N/A
2008,Angelina Jolie,Changeling,1099,1099,43,Asia,Biography
2000,Angelina Jolie,Gone in Sixty Seconds,1099,1099,624,America,#N/A
2008,Angelina Jolie,Kung Fu Panda,1099,1099,720,America,Animation
#N/A,Angelina Jolie,Kung Fu Panda 2,1099,1099,597,#N/A,Animation
2001,Angelina Jolie,Lara Croft: Tomb Raider,1099,1099,440,America,#N/A
2014,Angelina Jolie,Maleficent,1099,1099,434,Other countries,#N/A
2005,Angelina Jolie,Mr. & Mrs. Smith,1099,1099,131,Asia,Comedy
2010,Angelina Jolie,Salt,1099,1099,771,Other countries,#N/A
2010,Angelina Jolie,The Tourist,1099,1099,202,Other countries,#N/A
#N/A,Angelina Jolie,Wanted,1099,1099,447,#N/A,#N/A
2016,Angourie Rice,The Nice Guys,1026,1026,134,America,Comedy
1995,Angus Macfadyen,Braveheart,1687,1687,472,Asia,Biography
2006,Angus Macfadyen,Saw III,1687,1687,228,America,#N/A
2008,Anil Kapoor,Slumdog Millionaire,1716,1716,401,America,Romance
2004,Anjelica Huston,The Life Aquatic with Steve Zissou,370,370,133,America,Comedy
2001,Anjelica Huston,The Royal Tenenbaums,370,370,873,America,Comedy
2012,Anna Camp,Pitch Perfect,1732,1732,305,America,Romance
2009,Anna Faris,Cloudy with a Chance of Meatballs,1494,1494,915,America,Animation
#N/A,Anna Faris,Lost in Translation,1494,1494,276,#N/A,Drama
2000,Anna Faris,Scary Movie,1494,1494,699,America,Comedy
2012,Anna Faris,The Dictator,1494,1494,422,America,Comedy
2011,Anna Friel,Limitless,1150,1150,122,Asia,Sci-Fi
2011,Anna Hutchison,The Cabin in the Woods,1087,1087,550,America,Comedy
2011,Anna Kendrick,50/50,1173,1173,117,America,Romance
2012,Anna Kendrick,End of Watch,1173,1173,918,America,Drama
2012,Anna Kendrick,Pitch Perfect,1173,1173,305,America,Romance
2010,Anna Kendrick,Scott Pilgrim vs. the World,1173,1173,435,America,Comedy
2016,Anna Kendrick,The Accountant,1173,1173,921,America,Drama
2009,Anna Kendrick,Up in the Air,1173,1173,269,America,Romance
1980,Anne Bancroft,The Elephant Man,796,796,149,Asia,Biography
