year,Name,Title,ActorId,ActorId,MovieId,Country,genre
2012,Dane DeHaan,Chronicle,1528,1528,439,America,Drama
2013,Daniel Brühl,Rush,1160,1160,114,Other countries,Biography
2006,Daniel Craig,Casino Royale,1424,1424,859,America,#N/A
2011,Daniel Craig,Cowboys & Aliens,1424,1424,54,America,Sci-Fi
2005,Daniel Craig,Munich,1424,1424,639,Other countries,Drama
#N/A,Daniel Craig,Quantum of Solace,1424,1424,169,#N/A,#N/A
2012,Daniel Craig,Skyfall,1424,1424,846,America,#N/A
#N/A,Daniel Craig,Spectre,1424,1424,102,#N/A,#N/A
2011,Daniel Craig,The Adventures of Tintin,1424,1424,697,America,Animation
2011,Daniel Craig,The Girl with the Dragon Tattoo,1424,1424,340,America,Drama
2007,Daniel Craig,The Golden Compass,1424,1424,690,Asia,#N/A
2002,Daniel Day-Lewis,Gangs of New York,1589,1589,605,America,Drama
2012,Daniel Day-Lewis,Lincoln,1589,1589,177,Other countries,Biography
2007,Daniel Day-Lewis,There Will Be Blood,1589,1589,739,Other countries,Drama
2016,Daniel Giménez Cacho,The Promise,681,681,607,Other countries,Drama
2014,Daniel Henshall,The Babadook,1357,1357,900,America,Drama
#N/A,Daniel Mays,The Bank Job,975,975,47,#N/A,#N/A
2010,Daniel Olbrychski,Salt,572,572,771,Other countries,#N/A
2002,Daniel Radcliffe,Harry Potter and the Chamber of Secrets,1245,1245,363,America,#N/A
2010,Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 1,1245,1245,98,America,#N/A
#N/A,Daniel Radcliffe,Harry Potter and the Deathly Hallows: Part 2,1245,1245,222,#N/A,Drama
2005,Daniel Radcliffe,Harry Potter and the Goblet of Fire,1245,1245,490,Other countries,#N/A
#N/A,Daniel Radcliffe,Harry Potter and the Half-Blood Prince,1245,1245,180,#N/A,#N/A
2007,Daniel Radcliffe,Harry Potter and the Order of the Phoenix,1245,1245,65,Other countries,#N/A
2004,Daniel Radcliffe,Harry Potter and the Prisoner of Azkaban,1245,1245,937,America,#N/A
2001,Daniel Radcliffe,Harry Potter and the Sorcerer's Stone,1245,1245,324,America,#N/A
2012,Daniel Radcliffe,The Woman in Black,1245,1245,659,America,Drama
1968,Daniel Richter,2001: A Space Odyssey,627,627,736,America,#N/A
1990,Daniel Stern,Home Alone,433,433,877,America,Comedy
1992,Daniel Stern,Home Alone 2: Lost in New York,433,433,919,America,Comedy
2000,Daniel York,The Beach,1696,1696,210,America,Romance
2016,Daniel Zovatto,Don't Breathe,254,254,352,America,#N/A
2013,Daniella Kertesz,World War Z,609,609,589,America,#N/A
1994,Danny Aiello,Léon,512,512,905,America,Drama
1992,Danny DeVito,Batman Returns,608,608,329,America,#N/A
1993,Danny Elfman,The Nightmare Before Christmas,559,559,189,America,Animation
1987,Danny Glover,Lethal Weapon,366,366,121,America,#N/A
2004,Danny Glover,Saw,366,366,466,Other countries,#N/A
2007,Danny Glover,Shooter,366,366,627,America,Drama
2003,Danny Huston,21 Grams,924,924,595,America,Drama
2007,Danny Huston,The Number 23,924,924,537,America,#N/A
2009,Danny Huston,X-Men Origins: Wolverine,924,924,753,Asia,#N/A
1980,Danny Lloyd,The Shining,115,115,615,America,Drama
2008,Danny McBride,Pineapple Express,1069,1069,349,America,Comedy
2007,Danny Trejo,Grindhouse,152,152,380,America,#N/A
2010,Danny Trejo,Machete,152,152,977,America,#N/A
2002,Daryl Hannah,A Walk to Remember,805,805,470,Asia,Romance
2003,Daryl Hannah,Kill Bill: Vol. 1,805,805,850,America,#N/A
2004,Daryl Hannah,Kill Bill: Vol. 2,805,805,97,America,#N/A
2004,Dash Mihok,The Day After Tomorrow,155,155,126,America,Sci-Fi
1998,Dave Foley,A Bug's Life,454,454,807,America,Comedy
2016,Dave Franco,Now You See Me 2,879,879,838,Other countries,Comedy
2001,Daveigh Chase,Sen to Chihiro no kamikakushi,1693,1693,273,America,Animation
1996,David Arquette,Scream,1820,1820,628,Asia,#N/A
2003,David Carradine,Kill Bill: Vol. 1,1606,1606,850,America,#N/A
2004,David Carradine,Kill Bill: Vol. 2,1606,1606,97,America,#N/A
1999,David Della Rocco,The Boondock Saints,131,131,326,Other countries,#N/A
2013,David Denman,After Earth,717,717,55,Other countries,Sci-Fi
2002,David Dorfman,The Ring,853,853,233,America,#N/A
2014,David Harbour,The Equalizer,278,278,558,Other countries,#N/A
#N/A,David Hasselhoff,Click,1374,1374,734,#N/A,Comedy
1999,David Herman,Office Space,1204,1204,11,America,Comedy
1997,David Hewlett,Cube,1460,1460,892,America,Drama
2009,David James,District 9,1212,1212,528,Asia,#N/A
2005,David Kelly,Charlie and the Chocolate Factory,766,766,95,America,Comedy
2007,David Lee Smith,The Man from Earth,1391,1391,680,America,Drama
2007,David Morse,Disturbia,386,386,491,Asia,Drama
1999,David Morse,The Green Mile,386,386,727,Asia,Drama
2005,David Schwimmer,Madagascar,812,812,835,America,Comedy
2008,David Schwimmer,Madagascar: Escape 2 Africa,812,812,856,Asia,Comedy
2007,David Strathairn,Fracture,235,235,603,America,Drama
2012,David Strathairn,Lincoln,235,235,177,Other countries,Biography
2008,David Thewlis,The Boy in the Striped Pyjamas,1410,1410,687,Other countries,Drama
#N/A,David Wenham,300,828,828,728,#N/A,#N/A
2012,Dax Flame,Project X,1045,1045,476,America,Comedy
1952,Debbie Reynolds,Singin' in the Rain,986,986,579,America,Romance
#N/A,Deborah Kara Unger,Silent Hill,1401,1401,310,#N/A,#N/A
#N/A,Deborah Kara Unger,The Game,1401,1401,304,#N/A,Drama
1982,Dee Wallace,E.T. the Extra-Terrestrial,378,378,190,America,#N/A
#N/A,Demi Moore,A Few Good Men,1462,1462,309,#N/A,Drama
1990,Demi Moore,Ghost,1462,1462,449,America,Romance
#N/A,Denholm Elliott,Indiana Jones and the Last Crusade,1200,1200,138,#N/A,#N/A
2002,Denis Leary,Ice Age,444,444,629,Other countries,Comedy
2012,Denis Leary,Ice Age: Continental Drift,444,444,144,Asia,Comedy
2009,Denis Leary,Ice Age: Dawn of the Dinosaurs,444,444,37,America,Animation
2006,Denis Leary,Ice Age: The Meltdown,444,444,845,America,Comedy
1997,Denise Richards,Starship Troopers,722,722,630,Other countries,#N/A
1999,Denise Richards,The World Is Not Enough,722,722,129,America,#N/A
2000,Dennis Farina,Snatch,1234,1234,704,America,Comedy
#N/A,Dennis Hopper,Blue Velvet,181,181,521,#N/A,Drama
1994,Dennis Hopper,Speed,181,181,745,America,#N/A
1993,Dennis Hopper,True Romance,181,181,258,Asia,Romance
1995,Dennis Hopper,Waterworld,181,181,358,Asia,#N/A
2009,Dennis Quaid,G.I. Joe: The Rise of Cobra,1702,1702,711,America,#N/A
2004,Dennis Quaid,The Day After Tomorrow,1702,1702,126,America,Sci-Fi
2013,Denzel Washington,2 Guns,724,724,932,America,Comedy
2007,Denzel Washington,American Gangster,724,724,160,America,Biography
2006,Denzel Washington,Deja Vu,724,724,193,America,#N/A
2012,Denzel Washington,Flight,724,724,400,America,Drama
2006,Denzel Washington,Inside Man,724,724,675,America,Drama
2004,Denzel Washington,Man on Fire,724,724,942,America,Drama
1993,Denzel Washington,Philadelphia,724,724,560,America,Drama
2000,Denzel Washington,Remember the Titans,724,724,433,Other countries,Biography
#N/A,Denzel Washington,Safe House,724,724,622,#N/A,#N/A
2010,Denzel Washington,The Book of Eli,724,724,79,Asia,Drama
2014,Denzel Washington,The Equalizer,724,724,558,Other countries,#N/A
2016,Denzel Washington,The Magnificent Seven,724,724,726,America,#N/A
2009,Denzel Washington,The Taking of Pelham 123,724,724,961,Other countries,#N/A
2001,Denzel Washington,Training Day,724,724,985,America,Drama
#N/A,Denzel Washington,Unstoppable,724,724,410,#N/A,#N/A
2010,Derek Jacobi,The King's Speech,313,313,527,America,Biography
2010,Derek Jeter,The Other Guys,1624,1624,381,Asia,Comedy
2011,Dermot Mulroney,The Grey,1431,1431,150,America,Drama
2015,Dev Patel,Chappie,407,407,74,America,Drama
2016,Dev Patel,Lion,407,407,251,America,Biography
2008,Dev Patel,Slumdog Millionaire,407,407,401,America,Romance
2000,Devon Sawa,Final Destination,1395,1395,657,Asia,#N/A
1998,Dexter Fletcher,"Lock, Stock and Two Smoking Barrels",482,482,715,Asia,Comedy
1977,Diane Keaton,Annie Hall,1193,1193,899,America,Romance
1972,Diane Keaton,The Godfather,1193,1193,413,Asia,Drama
1974,Diane Keaton,The Godfather: Part II,1193,1193,493,Asia,Drama
1990,Diane Keaton,The Godfather: Part III,1193,1193,945,Other countries,Drama
2009,Diane Kruger,Inglourious Basterds,1370,1370,645,America,Drama
#N/A,Diane Kruger,Mr. Nobody,1370,1370,829,#N/A,Romance
2004,Diane Kruger,National Treasure,1370,1370,154,America,#N/A
2007,Diane Kruger,National Treasure: Book of Secrets,1370,1370,58,Other countries,#N/A
2011,Diane Kruger,Unknown,1370,1370,387,Other countries,#N/A
#N/A,Diane Lane,Man of Steel,1017,1017,912,#N/A,#N/A
2011,Dianna Agron,I Am Number Four,514,514,650,America,#N/A
1990,Dianne Wiest,Edward Scissorhands,1594,1594,621,America,Romance
2006,Dick Van Dyke,Night at the Museum,848,848,2,America,Comedy
2016,Diego Luna,Rogue One,692,692,459,America,#N/A
1997,Dina Meyer,Starship Troopers,1154,1154,630,Other countries,#N/A
2006,Djimon Hounsou,Blood Diamond,147,147,733,Other countries,Drama
2005,Djimon Hounsou,Constantine,147,147,242,America,#N/A
2005,Djimon Hounsou,The Island,147,147,669,Asia,#N/A
2010,Dolph Lundgren,The Expendables,374,374,26,America,#N/A
2013,Domhnall Gleeson,About Time,228,228,523,America,Comedy
2014,Domhnall Gleeson,Ex Machina,228,228,688,Other countries,Drama
2015,Domhnall Gleeson,Star Wars: Episode VII - The Force Awakens,228,228,548,America,#N/A
2015,Domhnall Gleeson,The Revenant,228,228,778,Other countries,Biography
2014,Dominic Cooper,Dracula Untold,1213,1213,551,America,Drama
2016,Dominic Cooper,Warcraft,1213,1213,735,Asia,#N/A
#N/A,Dominic West,300,1251,1251,728,#N/A,#N/A
#N/A,Dominique McElligott,Moon,1728,1728,652,#N/A,Drama
1997,Dominique Pinon,Alien: Resurrection,1287,1287,651,America,#N/A
2004,Don Cheadle,Crash,173,173,417,Asia,Drama
2012,Don Cheadle,Flight,173,173,400,America,Drama
2004,Don Cheadle,Hotel Rwanda,173,173,347,America,Biography
2010,Don Cheadle,Iron Man 2,173,173,249,America,#N/A
2013,Don Cheadle,Iron Man Three,173,173,226,America,#N/A
2001,Don Cheadle,Swordfish,173,173,443,Asia,#N/A
1995,Don Rickles,Toy Story,479,479,849,America,Comedy
1952,Donald O'Connor,Singin' in the Rain,1825,1825,579,America,Romance
1978,Donald Pleasence,Halloween,1785,1785,428,Other countries,#N/A
2005,Donald Sutherland,Pride & Prejudice,239,239,974,America,Romance
2003,Donald Sutherland,The Italian Job,239,239,174,America,#N/A
2010,Donna Murphy,Tangled,240,240,889,America,Comedy
1946,Donna Reed,It's a Wonderful Life,456,456,325,America,Drama
2005,Donnie Wahlberg,Saw II,485,485,152,America,#N/A
2016,Donnie Yen,Rogue One,1516,1516,459,America,#N/A
2008,Donnie Yen,Yip Man,1516,1516,408,Asia,Biography
#N/A,Donny Alamsyah,Serbuan maut,484,484,392,#N/A,#N/A
#N/A,Dorothy Comingore,Citizen Kane,269,269,437,#N/A,Drama
2004,Doug Jones,Hellboy,998,998,572,Asia,#N/A
2008,Doug Jones,Hellboy II: The Golden Army,998,998,584,America,#N/A
2016,Douglas M. Griffin,10 Cloverfield Lane,532,532,374,America,Drama
2000,Dougray Scott,Mission: Impossible II,1811,1811,587,America,#N/A
2004,Drew Barrymore,50 First Dates,1194,1194,82,America,Romance
2000,Drew Barrymore,Charlie's Angels,1194,1194,713,Other countries,Comedy
1982,Drew Barrymore,E.T. the Extra-Terrestrial,1194,1194,190,America,#N/A
2014,Dustin Hoffman,Chef,863,863,259,America,Comedy
1991,Dustin Hoffman,Hook,863,863,45,America,Comedy
2008,Dustin Hoffman,Kung Fu Panda,863,863,720,America,Animation
#N/A,Dustin Hoffman,Kung Fu Panda 2,863,863,597,#N/A,Animation
2006,Dustin Hoffman,Perfume: The Story of a Murderer,863,863,78,Other countries,Drama
1988,Dustin Hoffman,Rain Man,863,863,755,America,Drama
#N/A,Dustin Hoffman,Stranger Than Fiction,863,863,719,#N/A,Comedy
1967,Dustin Hoffman,The Graduate,863,863,284,Asia,Romance
2011,Dwayne Johnson,Fast Five,1158,1158,552,America,#N/A
2013,Dwayne Johnson,Furious 6,1158,1158,350,Asia,#N/A
2015,Dwayne Johnson,Furious Seven,1158,1158,411,America,#N/A
2013,Dwayne Johnson,G.I. Joe: Retaliation,1158,1158,828,America,#N/A
2008,Dwayne Johnson,Get Smart,1158,1158,130,America,Comedy
2016,Dwayne Johnson,Moana,1158,1158,416,America,Comedy
2013,Dwayne Johnson,Pain & Gain,1158,1158,564,Asia,Comedy
2015,Dwayne Johnson,San Andreas,1158,1158,313,Asia,Drama
2002,Dwight Yoakam,Panic Room,707,707,328,America,Drama
2016,Dylan Minnette,Don't Breathe,969,969,352,America,#N/A
2015,Dylan O'Brien,Maze Runner: The Scorch Trials,1128,1128,264,America,#N/A
2014,Dylan O'Brien,The Maze Runner,1128,1128,100,America,Sci-Fi
2001,Ed Harris,A Beautiful Mind,1498,1498,876,America,Biography
2005,Ed Harris,A History of Violence,1498,1498,524,America,Drama
2001,Ed Harris,Enemy at the Gates,1498,1498,451,America,Drama
2007,Ed Harris,Gone Baby Gone,1498,1498,165,America,Drama
2013,Ed Harris,Gravity,1498,1498,646,America,Drama
2013,Ed Harris,Snowpiercer,1498,1498,742,Asia,Drama
1996,Ed Harris,The Rock,1498,1498,353,America,#N/A
1998,Ed Harris,The Truman Show,1498,1498,458,Asia,Comedy
#N/A,Ed Helms,The Hangover,1719,1719,909,#N/A,Comedy
2011,Ed Helms,The Hangover Part II,1719,1719,978,America,Comedy
2013,Ed Helms,The Hangover Part III,1719,1719,111,America,Comedy
2013,Ed Helms,We're the Millers,1719,1719,158,America,Comedy
2016,Ed O'Neill,Finding Dory,1588,1588,457,Other countries,Comedy
#N/A,Ed Skrein,Deadpool,460,460,903,#N/A,Comedy
1998,Eddie Murphy,Mulan,758,758,575,America,Animation
2001,Eddie Murphy,Shrek,758,758,679,America,Comedy
2004,Eddie Murphy,Shrek 2,758,758,72,Other countries,Comedy
2010,Eddie Murphy,Shrek Forever After,758,758,336,America,Comedy
2007,Eddie Murphy,Shrek the Third,758,758,640,America,Comedy
2016,Eddie Redmayne,Fantastic Beasts and Where to Find Them,1243,1243,153,America,#N/A
2015,Eddie Redmayne,Jupiter Ascending,1243,1243,46,America,Sci-Fi
2014,Eddie Redmayne,The Theory of Everything,1243,1243,218,Other countries,Romance
#N/A,Edgar Ramírez,The Bourne Ultimatum,880,880,772,#N/A,#N/A
2009,Edward Asner,Up,1643,1643,103,America,Comedy
1998,Edward Burns,Saving Private Ryan,1617,1617,555,Asia,Drama
1998,Edward Furlong,American History X,792,792,81,America,Drama
1991,Edward Furlong,Terminator 2: Judgment Day,792,792,783,America,#N/A
1982,Edward James Olmos,Blade Runner,1757,1757,598,America,#N/A
2002,Edward Norton,25th Hour,1539,1539,372,America,Drama
1998,Edward Norton,American History X,1539,1539,81,America,Drama
2014,Edward Norton,Birdman or (The Unexpected Virtue of Ignorance),1539,1539,87,America,Comedy
1999,Edward Norton,Fight Club,1539,1539,776,America,Drama
1996,Edward Norton,Primal Fear,1539,1539,786,America,Drama
2002,Edward Norton,Red Dragon,1539,1539,964,America,Drama
2012,Edward Norton,The Bourne Legacy,1539,1539,454,America,#N/A
2006,Edward Norton,The Illusionist,1539,1539,874,America,Romance
2008,Edward Norton,The Incredible Hulk,1539,1539,962,America,#N/A
2003,Edward Norton,The Italian Job,1539,1539,174,America,#N/A
2004,Efren Ramirez,Napoleon Dynamite,824,824,881,Asia,Comedy
2004,Elden Henson,The Butterfly Effect,1030,1030,762,America,Drama
1965,Eleanor Parker,The Sound of Music,1469,1469,789,America,Biography
2009,Eli Roth,Inglourious Basterds,1761,1761,645,America,Drama
1966,Eli Wallach,"Il buono, il brutto, il cattivo",397,397,562,America,#N/A
2014,Elijah Smith,Boyhood,135,135,469,America,Drama
2001,Elijah Wood,The Lord of the Rings: The Fellowship of the Ring,737,737,194,America,Drama
2003,Elijah Wood,The Lord of the Rings: The Return of the King,737,737,118,America,Drama
2002,Elijah Wood,The Lord of the Rings: The Two Towers,737,737,420,Other countries,Drama
2010,Elisabeth Moss,Get Him to the Greek,619,619,27,Other countries,Music
2004,Elisha Cuthbert,The Girl Next Door,1059,1059,925,America,Romance
2008,Elissa Knight,WALL·E,1768,1768,143,Other countries,Animation
2008,Elizabeth Banks,Role Models,1489,1489,477,Other countries,Comedy
2014,Elizabeth Banks,The Lego Movie,1489,1489,481,America,Animation
#N/A,Elizabeth Banks,The Next Three Days,1489,1489,559,#N/A,Drama
2008,Elizabeth Banks,Zack and Miri Make a Porno,1489,1489,474,Asia,Romance
1984,Elizabeth Berridge,Amadeus,672,672,113,America,Biography
2008,Elizabeth Berrington,In Bruges,1227,1227,944,America,Comedy
2015,Elizabeth Debicki,The Man from U.N.C.L.E.,623,623,608,America,Comedy
1997,Elizabeth Hurley,Austin Powers: International Man of Mystery,550,550,429,America,Comedy
1984,Elizabeth McGovern,Once Upon a Time in America,499,499,357,America,Drama
2014,Elizabeth Olsen,Godzilla 2,233,233,480,Other countries,#N/A
1988,Elizabeth Perkins,Big,581,581,201,Other countries,Comedy
2014,Ellar Coltrane,Boyhood,1387,1387,469,America,Drama
2014,Elle Fanning,Maleficent,478,478,434,Other countries,#N/A
2011,Elle Fanning,Super 8,478,478,633,America,#N/A
#N/A,Ellen Burstyn,Requiem for a Dream,1803,1803,128,#N/A,Drama
1973,Ellen Burstyn,The Exorcist,1803,1803,377,Other countries,#N/A
2006,Ellen Burstyn,The Fountain,1803,1803,390,America,Drama
2007,Ellen Crawford,The Man from Earth,712,712,680,America,Drama
2016,Ellen DeGeneres,Finding Dory,764,764,457,Other countries,Comedy
2003,Ellen DeGeneres,Finding Nemo,764,764,120,America,Comedy
2010,Ellen Page,Inception,496,496,913,America,#N/A
2007,Ellen Page,Juno,496,496,959,America,Comedy
1981,Ellen Sandweiss,The Evil Dead,1607,1607,996,America,#N/A
2015,Eloise Mumford,Fifty Shades of Grey,1406,1406,442,America,Romance
1987,Elpidia Carrillo,Predator,1344,1344,176,Asia,#N/A
#N/A,Emile Hirsch,Into the Wild,329,329,567,#N/A,Biography
2013,Emile Hirsch,Lone Survivor,329,329,351,America,Biography
2004,Emile Hirsch,The Girl Next Door,329,329,925,America,Romance
2016,Emilia Clarke,Me Before You,911,911,785,Asia,Romance
2015,Emilia Clarke,Terminator Genisys,911,911,236,Asia,#N/A
2002,Emilia Fox,The Pianist,445,445,898,Asia,Music
2000,Emilio Echevarría,Amores perros,1579,1579,514,Other countries,Drama
1985,Emilio Estevez,The Breakfast Club,96,96,770,America,Comedy
2014,Emily Blunt,Edge of Tomorrow,1583,1583,378,America,#N/A
2012,Emily Blunt,Looper,1583,1583,751,America,Drama
2015,Emily Blunt,Sicario,1583,1583,952,America,Drama
2011,Emily Blunt,The Adjustment Bureau,1583,1583,232,America,Romance
2006,Emily Blunt,The Devil Wears Prada,1583,1583,425,America,Comedy
2011,Emily Browning,Sucker Punch,1235,1235,869,America,#N/A
2005,Emily Mortimer,Match Point,1626,1626,317,America,Romance
2010,Emily Mortimer,Shutter Island,1626,1626,394,America,#N/A
2005,Emily Watson,Corpse Bride,1053,1053,191,America,Drama
2002,Emily Watson,Equilibrium,1053,1053,389,Other countries,Drama
#N/A,Eminem,8 Mile,373,373,619,#N/A,Music
2013,Emma Roberts,We're the Millers,1783,1783,158,America,Comedy
2012,Emma Shorey,The Woman in Black,1815,1815,659,America,Drama
2011,Emma Stone,"Crazy, Stupid, Love.",1163,1163,483,America,Romance
2010,Emma Stone,Easy A,1163,1163,1000,America,Romance
2013,Emma Stone,Gangster Squad,1163,1163,71,America,Drama
2016,Emma Stone,La La Land,1163,1163,295,America,Music
2012,Emma Stone,The Amazing Spider-Man,1163,1163,9,Asia,Sci-Fi
2014,Emma Stone,The Amazing Spider-Man 2,1163,1163,246,Europe,#N/A
2013,Emma Stone,The Croods,1163,1163,244,America,Animation
2011,Emma Stone,The Help,1163,1163,229,America,Drama
2009,Emma Stone,Zombieland,1163,1163,171,America,Comedy
#N/A,Emma Thompson,Brave,1517,1517,51,#N/A,Comedy
#N/A,Emma Thompson,Stranger Than Fiction,1517,1517,719,#N/A,Comedy
2002,Emma Watson,Harry Potter and the Chamber of Secrets,1208,1208,363,America,#N/A
2010,Emma Watson,Harry Potter and the Deathly Hallows: Part 1,1208,1208,98,America,#N/A
#N/A,Emma Watson,Harry Potter and the Deathly Hallows: Part 2,1208,1208,222,#N/A,Drama
2005,Emma Watson,Harry Potter and the Goblet of Fire,1208,1208,490,Other countries,#N/A
#N/A,Emma Watson,Harry Potter and the Half-Blood Prince,1208,1208,180,#N/A,#N/A
2007,Emma Watson,Harry Potter and the Order of the Phoenix,1208,1208,65,Other countries,#N/A
2004,Emma Watson,Harry Potter and the Prisoner of Azkaban,1208,1208,937,America,#N/A
2014,Emma Watson,Noah,1208,1208,599,America,Drama
2012,Emma Watson,The Perks of Being a Wallflower,1208,1208,471,Asia,Drama
1996,Emmanuelle Béart,Mission: Impossible,136,136,692,Asia,#N/A
2008,Emmanuelle Chriqui,You Don't Mess with the Zohan,1669,1669,955,Other countries,Comedy
2005,Emmanuelle Vaugier,Saw II,71,71,152,America,#N/A
2003,Emmy Rossum,Mystic River,1202,1202,364,Asia,Drama
2004,Emmy Rossum,The Day After Tomorrow,1202,1202,126,America,Sci-Fi
1988,Enzo Cannavale,Nuovo Cinema Paradiso,891,891,860,America,Drama
#N/A,Eric Bana,Black Hawk Down,745,745,468,#N/A,Drama
2011,Eric Bana,Hanna,745,745,293,Europe,Drama
2003,Eric Bana,Hulk,745,745,292,America,#N/A
2005,Eric Bana,Munich,745,745,639,Other countries,Drama
2004,Eric Bana,Troy,745,745,994,Other countries,Drama
1975,Eric Idle,Monty Python and the Holy Grail,457,457,485,America,Comedy
2016,Eric Stonestreet,The Secret Life of Pets,4,4,286,America,Comedy
2005,Eric Sykes,Harry Potter and the Goblet of Fire,196,196,490,Other countries,#N/A
2009,Eric Winter,The Ugly Truth,1487,1487,695,Other countries,Romance
#N/A,Erich von Stroheim,Sunset Blvd.,1244,1244,760,#N/A,Film-Noir
2014,Essie Davis,The Babadook,948,948,900,America,Drama
2004,Ethan Embry,Harold & Kumar Go to White Castle,1336,1336,306,Asia,Comedy
1995,Ethan Hawke,Before Sunrise,268,268,825,America,Romance
2004,Ethan Hawke,Before Sunset,268,268,106,America,Romance
2014,Ethan Hawke,Boyhood,268,268,469,America,Drama
1989,Ethan Hawke,Dead Poets Society,268,268,520,America,Comedy
1997,Ethan Hawke,Gattaca,268,268,132,America,Drama
2005,Ethan Hawke,Lord of War,268,268,600,America,Drama
2014,Ethan Hawke,Predestination,268,268,140,America,Drama
2012,Ethan Hawke,Sinister,268,268,200,Other countries,#N/A
2016,Ethan Hawke,The Magnificent Seven,268,268,726,America,#N/A
2013,Ethan Hawke,The Purge,268,268,30,America,#N/A
2001,Ethan Hawke,Training Day,268,268,985,America,Drama
#N/A,Ethan Suplee,Unstoppable,1024,1024,410,#N/A,#N/A
2003,Eugene Levy,American Wedding,1028,1028,327,America,Comedy
2009,Eunice Cho,Ice Age: Dawn of the Dinosaurs,748,748,37,America,Animation
2014,Eva Green,300: Rise of an Empire,564,564,64,America,#N/A
2006,Eva Green,Casino Royale,564,564,859,America,#N/A
2012,Eva Green,Dark Shadows,564,564,33,America,Comedy
2005,Eva Green,Kingdom of Heaven,564,564,917,Other countries,Drama
1959,Eva Marie Saint,North by Northwest,258,258,245,America,#N/A
2003,Eva Mendes,2 Fast 2 Furious,539,539,173,Other countries,#N/A
2007,Eva Mendes,Ghost Rider,539,539,25,America,#N/A
2005,Eva Mendes,Hitch,539,539,949,America,Romance
2010,Eva Mendes,The Other Guys,539,539,381,Asia,Comedy
2012,Eva Mendes,The Place Beyond the Pines,539,539,421,America,Drama
2008,Evan Rachel Wood,The Wrestler,1712,1712,891,Europe,Sport
2015,Evangeline Lilly,Ant-Man,701,701,303,America,Comedy
2011,Evangeline Lilly,Real Steel,701,701,596,America,Drama
2009,Ewa Fröling,Män som hatar kvinnor,412,412,403,Other countries,Drama
2009,Ewan McGregor,Angels & Demons,253,253,532,America,#N/A
2003,Ewan McGregor,Big Fish,253,253,594,America,Drama
#N/A,Ewan McGregor,Black Hawk Down,253,253,468,#N/A,Drama
2012,Ewan McGregor,Lo imposible,253,253,526,America,Drama
2001,Ewan McGregor,Moulin Rouge!,253,253,623,America,Romance
1999,Ewan McGregor,Star Wars: Episode I - The Phantom Menace,253,253,57,America,#N/A
2002,Ewan McGregor,Star Wars: Episode II - Attack of the Clones,253,253,989,America,#N/A
2005,Ewan McGregor,Star Wars: Episode III - Revenge of the Sith,253,253,768,America,#N/A
2005,Ewan McGregor,The Island,253,253,669,Asia,#N/A
1996,Ewan McGregor,Trainspotting,253,253,75,America,Drama
2004,Ewen Bremner,AVP: Alien vs. Predator,1264,1264,642,America,#N/A
1996,Ewen Bremner,Trainspotting,1264,1264,75,America,Drama
2012,Ezra Miller,The Perks of Being a Wallflower,441,441,471,Asia,Drama
1984,F. Murray Abraham,Amadeus,715,715,113,America,Biography
2014,F. Murray Abraham,The Grand Budapest Hotel,715,715,487,America,Comedy
2010,Faith Wladyka,Blue Valentine,2,2,957,Other countries,Romance
1995,Famke Janssen,GoldenEye,1729,1729,260,Other countries,#N/A
2013,Famke Janssen,Hansel & Gretel: Witch Hunters,1729,1729,769,Asia,#N/A
2008,Famke Janssen,Taken,1729,1729,805,America,#N/A
2012,Famke Janssen,Taken 2,1729,1729,430,America,#N/A
2014,Famke Janssen,Taken 3,1729,1729,73,America,#N/A
2000,Famke Janssen,X-Men,1729,1729,763,America,#N/A
2006,Famke Janssen,X-Men: The Last Stand,1729,1729,257,Other countries,#N/A
1974,Faye Dunaway,Chinatown,651,651,740,Asia,Drama
2016,Felicity Jones,Rogue One,958,958,459,America,#N/A
2014,Felicity Jones,The Theory of Everything,958,958,218,Other countries,Romance
2001,Fionnula Flanagan,The Others,1123,1123,399,America,#N/A
2011,Florence Kastriner,The Adjustment Bureau,1067,1067,232,America,Romance
2016,Forest Whitaker,Arrival,662,662,665,America,Drama
2002,Forest Whitaker,Panic Room,662,662,328,America,Drama
2002,Forest Whitaker,Phone Booth,662,662,53,Other countries,#N/A
#N/A,Forest Whitaker,Southpaw,662,662,943,#N/A,Sport
2014,Forest Whitaker,Taken 3,662,662,73,America,#N/A
2006,Forest Whitaker,The Last King of Scotland,662,662,979,Africa,Biography
2011,Fran Kranz,The Cabin in the Woods,1742,1742,550,America,Comedy
1996,Frances Bay,Happy Gilmore,1554,1554,568,Asia,Comedy
2000,Frances McDormand,Almost Famous,1636,1636,488,Other countries,Comedy
2008,Frances McDormand,Burn After Reading,1636,1636,858,America,Comedy
1996,Frances McDormand,Fargo,1636,1636,543,Asia,Drama
2001,Frances O'Connor,Artificial Intelligence: AI,1073,1073,916,America,Drama
2016,Frances O'Connor,The Conjuring 2,1073,1073,319,America,Drama
1990,Frances Sternhagen,Misery,806,806,832,America,Drama
2006,Francesc Albiol,Perfume: The Story of a Murderer,884,884,78,Other countries,Drama
2002,François Berléand,The Transporter,50,50,907,America,#N/A
#N/A,François Cluzet,Intouchables,1222,1222,175,#N/A,Comedy
1977,François Truffaut,Close Encounters of the Third Kind,1734,1734,658,America,Drama
